x	y
0	0.000
0	0.000
0	0.000
0	0.000
0	0.000
0	0.000
0	0.000
0	0.000
0	0.000
0	0.000
0	0.001
0	0.001
0	0.001
0	0.001
0	0.001
0	0.001
0	0.001
0	0.001
0	0.001
0	0.001
0	0.001
0	0.001
0	0.002
0	0.002
0	0.002
0	0.002
0	0.002
0	0.002
0	0.002
0	0.002
0	0.002
0	0.002
0	0.002
0	0.003
0	0.003
0	0.003
0	0.003
0	0.003
0	0.003
0	0.003
0	0.003
0	0.003
0	0.003
0	0.003
0	0.003
0	0.004
0	0.004
0	0.004
0	0.004
0	0.004
0	0.004
0	0.004
0	0.004
0	0.004
0	0.004
0	0.004
0	0.005
0	0.005
0	0.005
0	0.005
0	0.005
0	0.005
0	0.005
0	0.005
0	0.005
0	0.005
0	0.006
0	0.006
0	0.006
0	0.006
0	0.006
0	0.006
0	0.006
0	0.006
0	0.006
0	0.006
0	0.006
0	0.007
0	0.007
0	0.007
0	0.007
0	0.007
0	0.007
0	0.007
0	0.007
0	0.007
0	0.007
0	0.008
0	0.008
0	0.008
0	0.008
0	0.008
0	0.008
0	0.008
0	0.008
0	0.008
0	0.009
0	0.009
0	0.009
0	0.009
0	0.009
0	0.009
0	0.009
0	0.009
0	0.009
0	0.010
0	0.010
0	0.010
0	0.010
0	0.010
0	0.010
0	0.010
0	0.010
0	0.010
0	0.010
0	0.011
0	0.011
0	0.011
0	0.011
0	0.011
0	0.011
0	0.011
0	0.011
0	0.011
0	0.011
0	0.011
0	0.012
0	0.012
0	0.012
0	0.012
0	0.012
0	0.012
0	0.012
0	0.012
0	0.012
0	0.012
0	0.013
0	0.013
0	0.013
0	0.013
0	0.013
0	0.013
0	0.013
0	0.013
0	0.013
0	0.013
0	0.014
0	0.014
0	0.014
0	0.014
0	0.014
0	0.014
0	0.014
0	0.014
0	0.015
0	0.015
0	0.015
0	0.015
0	0.015
0	0.015
0	0.015
0	0.015
0	0.015
0	0.016
0	0.016
0	0.016
0	0.016
0	0.016
0	0.016
0	0.016
0	0.016
0	0.016
0	0.017
0	0.017
0	0.017
0	0.017
0	0.017
0	0.017
0	0.017
0	0.017
0	0.017
0	0.017
0	0.017
0	0.018
0	0.018
0	0.018
0	0.018
0	0.018
0	0.018
0	0.018
0	0.018
0	0.018
0	0.019
0	0.019
0	0.019
0	0.019
0	0.019
0	0.019
0	0.019
0	0.019
0	0.020
0	0.020
0	0.020
0	0.020
0	0.020
0	0.020
0	0.021
0	0.021
0	0.021
0	0.021
0	0.021
0	0.021
0	0.021
0	0.021
0	0.021
0	0.022
0	0.022
0	0.022
0	0.022
0	0.022
0	0.022
0	0.022
0.006	0.022
0.006	0.023
0.006	0.023
0.006	0.023
0.006	0.023
0.006	0.023
0.006	0.023
0.006	0.023
0.006	0.023
0.006	0.023
0.006	0.023
0.006	0.024
0.006	0.024
0.006	0.024
0.006	0.024
0.006	0.024
0.006	0.024
0.006	0.024
0.006	0.025
0.006	0.025
0.006	0.025
0.006	0.025
0.013	0.025
0.013	0.025
0.013	0.025
0.013	0.025
0.013	0.025
0.013	0.026
0.013	0.026
0.013	0.026
0.013	0.026
0.013	0.026
0.013	0.026
0.013	0.027
0.013	0.027
0.013	0.027
0.013	0.027
0.013	0.027
0.013	0.028
0.013	0.028
0.013	0.028
0.013	0.028
0.013	0.028
0.013	0.028
0.013	0.028
0.013	0.028
0.013	0.028
0.013	0.029
0.013	0.029
0.013	0.029
0.013	0.029
0.013	0.029
0.013	0.029
0.013	0.029
0.013	0.029
0.013	0.030
0.013	0.030
0.013	0.030
0.013	0.030
0.013	0.030
0.013	0.031
0.013	0.031
0.013	0.031
0.013	0.031
0.013	0.031
0.013	0.031
0.013	0.032
0.013	0.032
0.013	0.032
0.013	0.032
0.020	0.032
0.020	0.032
0.020	0.032
0.020	0.032
0.020	0.032
0.020	0.033
0.020	0.033
0.020	0.033
0.020	0.033
0.020	0.033
0.020	0.033
0.020	0.034
0.020	0.034
0.020	0.034
0.020	0.034
0.020	0.034
0.020	0.034
0.020	0.034
0.020	0.034
0.020	0.035
0.020	0.035
0.020	0.035
0.020	0.035
0.020	0.035
0.020	0.035
0.020	0.035
0.020	0.035
0.020	0.035
0.020	0.035
0.020	0.036
0.020	0.036
0.020	0.036
0.020	0.036
0.020	0.036
0.020	0.036
0.020	0.037
0.020	0.037
0.020	0.037
0.020	0.037
0.020	0.037
0.020	0.037
0.020	0.037
0.020	0.038
0.020	0.038
0.020	0.038
0.020	0.038
0.020	0.038
0.020	0.038
0.020	0.038
0.020	0.038
0.020	0.039
0.020	0.039
0.020	0.039
0.020	0.039
0.020	0.039
0.020	0.039
0.020	0.039
0.020	0.040
0.020	0.040
0.020	0.040
0.020	0.040
0.020	0.040
0.020	0.040
0.020	0.040
0.027	0.041
0.027	0.041
0.027	0.041
0.027	0.041
0.027	0.041
0.027	0.042
0.027	0.042
0.027	0.042
0.027	0.042
0.027	0.042
0.027	0.043
0.027	0.043
0.027	0.043
0.027	0.043
0.027	0.043
0.027	0.043
0.027	0.044
0.027	0.044
0.027	0.044
0.027	0.044
0.027	0.044
0.027	0.045
0.027	0.045
0.027	0.045
0.027	0.045
0.027	0.045
0.027	0.045
0.027	0.045
0.027	0.045
0.027	0.046
0.027	0.046
0.027	0.046
0.027	0.046
0.027	0.047
0.027	0.047
0.027	0.047
0.027	0.047
0.027	0.047
0.027	0.048
0.027	0.048
0.027	0.048
0.027	0.048
0.027	0.048
0.027	0.049
0.027	0.049
0.027	0.049
0.034	0.049
0.034	0.049
0.034	0.049
0.034	0.050
0.034	0.050
0.034	0.050
0.034	0.050
0.034	0.050
0.034	0.050
0.034	0.050
0.034	0.051
